"key","title","id","number","oldStopNumber","revision","createdAt","updatedAt"
1,Model of a boat,686GMMnFN6AMqcu8YsmqGw,362,268,6,2015-08-24T08:51:46.082Z,2015-11-19T21:15:27.889Z
2,King Den's sandal label,2ZlZbOtULuKEgSQ8eEyOA,351,272,4,2015-10-18T10:44:49.075Z,2015-11-19T21:04:21.209Z
3,West frieze of two horsemen,6t4gvd15AIeiGQysogsi6g,269,332,5,2015-10-15T11:38:37.513Z,2015-11-20T12:47:19.984Z
4,Luristan bronzes,3SKuJqHXu0QY0Eea2KCm0I,426,NULL,6,2015-10-14T11:45:53.340Z,2015-11-19T21:08:32.607Z
5,East frieze of girls in procession,6f0ViQz840OW8MsIQ68M2s,256,337,5,2015-10-15T11:06:27.292Z,2015-11-19T20:19:27.956Z
6,Cowrie shells,6sl6p87Bg4aCi0O8mCwKSC,133,277,6,2015-10-14T18:58:40.570Z,2016-01-28T10:24:46.803Z
7,Cross of Bishop Timotheos,6rreuErR4cc0gaWcAIuoKw,341,NULL,5,2015-10-14T11:12:29.274Z,2015-11-19T20:04:47.675Z
8,Bowl with blue and white decoration,2UJEdPFZoAqsgEqw8A6e4U,294,196,7,2015-10-15T11:50:40.945Z,2015-11-19T16:46:41.644Z
9,The East pediment,71OwcIQGjeKQkeUy64Aiy6,262,321,6,2015-10-15T11:28:48.049Z,2015-11-20T11:55:14.794Z
10,Crystal skull,6jAmrp081yi0YAQo4e0S0g,161,151,7,2015-10-14T20:14:32.625Z,2015-11-25T16:21:20.450Z
11,Oxus treasure,50DCX0TJ7aQM6GocKwIkG2,423,250,6,2015-10-18T11:15:01.006Z,2015-11-19T21:30:39.788Z
12,Relief of a lion hunt,1NEBL59uRCQeqoQUGc6w2s,214,131,8,2015-08-24T08:22:14.464Z,2015-11-19T21:41:15.133Z
13,Statuette of a warrior on horseback,ip8NYgvLXiImOaMSaGEaG,572,293,4,2015-10-18T14:54:00.758Z,2015-11-20T11:46:24.838Z
14,Wall reliefs from Persepolis,7EocM5Zw1qOemiOQMAE2gM,425,NULL,8,2015-10-14T11:34:34.985Z,2015-11-20T13:00:38.953Z
15,Mixtec illustrated manuscript,3fScoWqaakS8QcmU0oYIEs,143,NULL,7,2015-10-13T19:25:35.795Z,2016-09-16T08:39:44.212Z
16,Haida sphinx,9rCSYmouXYQm0O6yWkKCY,154,NULL,7,2015-10-13T19:30:57.501Z,2016-09-16T08:44:22.727Z
17,The Palmer Cup,42Tp6LLPOgCMQ6aiwW2Skw,102,NULL,9,2015-08-24T08:33:04.254Z,2015-12-03T16:24:19.395Z
18,Piranesi Vase,1PL8yVP3ykEqe2cYAsAsEu,127,102,7,2015-08-24T08:17:31.709Z,2015-11-19T21:38:16.145Z
19,Brooch of the Lamb of God,15qTnw3ujG8M2egueyuSsW,474,NULL,6,2015-10-14T11:47:40.092Z,2015-11-19T16:53:20.444Z
20,The Royal Game of Ur,1xWQNJ2L2ASKseCew8SWeK,395,258,6,2015-10-18T11:05:19.372Z,2016-08-08T10:04:29.141Z
21,The Great Torc from Snettisham,5nrt5CAKjYGSUAYYaAw62K,443,243,5,2015-10-18T11:32:16.314Z,2015-11-26T21:33:40.719Z
22,Pair of Buddhapada,6XS3Tlj84Me8GUCGam0kEy,301,194,6,2015-10-15T11:53:27.582Z,2016-07-25T11:08:20.838Z
23,The Holy Thorn Reliquary ,6wYT1gvZAsmcICWYG40wWi,101,NULL,12,2015-08-24T08:32:38.185Z,2015-12-03T16:19:28.351Z
24,Trillion dollar poster,31TFZFlWQEqyeuAGY6wGGY,526,NULL,6,2015-10-14T12:01:01.106Z,2015-12-08T13:41:48.417Z
25,Aigina treasure,1c9CJCpG4yOIkcwoIy8Gks,223,136,7,2015-10-15T10:42:33.388Z,2015-11-28T17:01:21.144Z
